title,original_language,release_year,release_month,runtime,genre,averageRating,budget,revenue,agg_profit,norm_revenue
Abigail,en,2019,11,87,"Crime,Mystery,Thriller",7.5,28000000.0,42645515.0,14645515.0,10661378.75
Doctor Sleep,en,2019,10,152,"Drama,Fantasy,Horror",7.3,45000000.0,71720838.0,26720838.0,17930209.5
Amelia,pt,2019,10,111,"Adventure,Biography,Drama",5.8,40000000.0,19756077.0,-20243923.0,4939019.25
Countdown,en,2019,10,101,"Sci-Fi,Thriller",5.9,6500000.0,42176201.0,35676201.0,10544050.25
The Lighthouse,en,2019,10,\N,\N,8.3,4000000.0,18268614.0,14268614.0,4567153.5
Ghost,hi,2019,10,127,"Drama,Fantasy,Romance",7.1,22000000.0,517599988.0,495599988.0,129399997.0
The Postman,no,2019,10,107,Drama,7.0,80000000.0,20841123.0,-59158877.0,5210280.75
The Collector,pt,2019,10,119,"Drama,Thriller",7.5,3000000.0,10473836.0,7473836.0,2618459.0
The Addams Family,en,2019,10,99,"Comedy,Fantasy",6.9,30000000.0,191502243.0,161502243.0,47875560.75
Zombieland: Double Tap,en,2019,10,99,"Action,Comedy,Horror",6.7,48000000.0,125213018.0,77213018.0,31303254.5
Cargo,ms,2019,9,\N,Drama,5.8,4200000.0,313230.0,-3886770.0,78307.5
Kin,tr,2019,9,80,"Action,Adventure,Drama",5.1,30000000.0,10383524.0,-19616476.0,2595881.0
Wolf,en,2019,9,125,"Drama,Horror,Romance",6.3,70000000.0,131011757.0,61011757.0,32752939.25
Blood Quantum,en,2019,9,98,"Drama,Horror",5.6,4500000.0,10926.0,-4489074.0,2731.5
Limbo,en,2019,8,112,Drama,6.1,8300000.0,2598224.0,-5701776.0,649556.0
Ready or Not,en,2019,8,88,Comedy,4.7,6000000.0,56785851.0,50785851.0,14196462.75
47 Meters Down: Uncaged,en,2019,8,90,"Adventure,Drama,Horror",5.0,12000000.0,47582563.0,35582563.0,11895640.75
Scary Stories to Tell in the Dark,en,2019,8,108,"Adventure,Horror,Mystery",6.2,28000000.0,104793708.0,76793708.0,26198427.0
Black Mass,en,2019,8,123,"Biography,Crime,Drama",6.8,53000000.0,98837872.0,45837872.0,24709468.0
Final Destination,en,2019,7,98,"Horror,Thriller",6.7,23000000.0,112036870.0,89036870.0,28009217.5
The Quiet,en,2019,7,96,"Crime,Drama,Thriller",6.1,900000.0,381420.0,-518580.0,95355.0
Spiral,en,2019,7,90,Drama,4.5,20000000.0,39519588.0,19519588.0,9879897.0
Crawl,en,2019,7,80,"Crime,Thriller",4.6,17000000.0,91720490.0,74720490.0,22930122.5
Midsommar,en,2019,7,148,"Drama,Horror,Mystery",7.1,9000000.0,46721621.0,37721621.0,11680405.25
Annabelle Comes Home,en,2019,6,106,"Horror,Mystery,Thriller",5.9,27000000.0,230779191.0,203779191.0,57694797.75
Tooth Fairy,en,2019,4,101,"Comedy,Family,Fantasy",5.0,48000000.0,112610386.0,64610386.0,28152596.5
The Mask,en,2019,4,50,"Comedy,Drama",6.2,18000000.0,351620129.0,333620129.0,87905032.25
The Curse of La Llorona,en,2019,4,93,"Horror,Mystery,Thriller",5.3,9000000.0,123133739.0,114133739.0,30783434.75
Pet Sematary,en,2019,4,103,"Fantasy,Horror,Thriller",6.5,21000000.0,111809732.0,90809732.0,27952433.0
Darkness,es,2019,3,88,Horror,5.4,10600000.0,34409206.0,23809206.0,8602301.5
Abduction,en,2019,3,95,"Crime,Drama,Thriller",4.9,35000000.0,86648359.0,51648359.0,21662089.75
Armageddon,de,2019,3,\N,"Action,Sci-Fi",6.8,140000000.0,554600000.0,414600000.0,138650000.0
Us,en,2019,3,99,"Drama,Mystery",5.0,20000000.0,255620999.0,235620999.0,63905249.75
Control,en,2019,3,107,"Drama,Thriller",5.9,6400000.0,8902141.0,2502141.0,2225535.25
Beowulf,en,2019,2,95,"Action,Adventure,Fantasy",4.1,150000000.0,195080579.0,45080579.0,48770144.75
My Bloody Valentine,en,2019,2,90,"Horror,Mystery,Thriller",6.2,14000000.0,102836002.0,88836002.0,25709000.5
Happy Death Day 2U,en,2019,2,100,"Comedy,Horror,Mystery",6.2,9000000.0,64686515.0,55686515.0,16171628.75
Driven,en,2019,2,103,Drama,6.0,72000000.0,54616869.0,-17383131.0,13654217.25
The Prodigy,en,2019,2,120,"Crime,Drama,Thriller",5.3,6000000.0,22413145.0,16413145.0,5603286.25
Water,en,2019,2,115,"Adventure,Comedy,Drama",6.0,3000000.0,11322573.0,8322573.0,2830643.25
Braid,en,2019,1,82,"Crime,Horror,Mystery",5.3,1660000.0,80745.0,-1579255.0,20186.25
Nerve,pt,2019,1,83,"Comedy,Drama",6.8,20000000.0,85583945.0,65583945.0,21395986.25
Escape Room,en,2019,1,81,"Horror,Thriller",4.2,9000000.0,155615727.0,146615727.0,38903931.75
Road Trip,en,2019,1,93,Comedy,6.5,16000000.0,119739110.0,103739110.0,29934777.5
The Possession of Hannah Grace,en,2018,11,86,"Horror,Mystery,Thriller",5.2,6000000.0,42873730.0,36873730.0,8574746.0
Shutter,en,2018,11,97,"Horror,Mystery,Thriller",7.0,8000000.0,47782426.0,39782426.0,9556485.2
Overlord,en,2018,11,83,"Drama,History,War",7.1,38000000.0,39178189.0,1178189.0,7835637.8
Wild,en,2018,10,107,"Adventure,Comedy",4.8,15000000.0,52460543.0,37460543.0,10492108.6
Date Night,en,2018,10,88,"Comedy,Crime,Romance",6.3,55000000.0,152269033.0,97269033.0,30453806.6
The Darkest Hour,hu,2018,10,50,Drama,6.1,34800000.0,64626786.0,29826786.0,12925357.2
Halloween,en,2018,10,91,"Horror,Thriller",7.7,15000000.0,77514401.0,62514401.0,15502880.2
Goosebumps 2: Haunted Halloween,en,2018,10,90,"Adventure,Comedy,Fantasy",5.6,35000000.0,93006429.0,58006429.0,18601285.8
Suspiria,en,2018,10,92,Horror,7.3,20000000.0,8075343.0,-11924657.0,1615068.6
Afraid,en,2018,10,84,"Horror,Mystery,Sci-Fi",5.1,12000000.0,9026137.0,-2973863.0,1805227.4
Hell Fest,en,2018,9,89,"Horror,Mystery,Thriller",5.5,5500000.0,18294883.0,12794883.0,3658976.6
Assassination Nation,en,2018,9,108,"Action,Comedy,Crime",6.0,7000000.0,2852759.0,-4147241.0,570551.8
Mandy,en,2018,9,113,"Drama,Thriller",4.8,6000000.0,1480281.0,-4519719.0,296056.2
The Nun,en,2018,9,140,Drama,7.5,22000000.0,362900037.0,340900037.0,72580007.4
Mirror Mirror,pt,2018,9,104,"Horror,Thriller",5.5,85000000.0,173613482.0,88613482.0,34722696.4
The Raven,en,2018,9,57,"Biography,Drama",5.3,26000000.0,30601801.0,4601801.0,6120360.2
Salt,en,2018,8,78,\N,6.3,130000000.0,290650494.0,160650494.0,58130098.8
Frenzy,en,2018,8,72,"Horror,Thriller",6.2,3500000.0,12600000.0,9100000.0,2520000.0
Slender Man,en,2018,8,93,"Horror,Mystery,Thriller",3.3,10000000.0,51945949.0,41945949.0,10389189.8
The Meg,en,2018,8,113,"Action,Horror,Sci-Fi",5.7,178000000.0,527267828.0,349267828.0,105453565.6
Down a Dark Hall,en,2018,8,96,"Drama,Fantasy,Horror",5.1,4000000.0,2842176.0,-1157824.0,568435.2
Lovesick,en,2018,8,95,"Comedy,Fantasy,Romance",5.2,10100000.0,10143618.0,43618.0,2028723.6
The Forgotten,en,2018,7,105,Drama,7.5,50000000.0,117211892.0,67211892.0,23442378.4
Unfriended: Dark Web,en,2018,7,92,"Horror,Mystery,Thriller",6.0,1000000.0,16434588.0,15434588.0,3286917.6
Sabrina,id,2018,7,113,"Comedy,Drama,Romance",7.6,58000000.0,87100000.0,29100000.0,17420000.0
The Night Before,ko,2018,7,90,Comedy,6.1,25000000.0,52568099.0,27568099.0,10513619.8
The First Purge,en,2018,7,97,"Action,Horror,Sci-Fi",5.2,13000000.0,137054597.0,124054597.0,27410919.4
Hereditary,en,2018,6,127,"Drama,Horror,Mystery",7.3,10000000.0,80942650.0,70942650.0,16188530.0
The Visit,zh,2018,6,86,"Comedy,Romance",7.4,5000000.0,98677816.0,93677816.0,19735563.2
