,id,title,original_language,overview,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,status,genre_names,release_month,release_year,profit
88,459202,Boo 2! A Madea Halloween,en,"Madea and the gang encounter monsters, goblins and boogeymen at a haunted campground.",2017-10-20,19.835,445,5.7,25000000,48333932,103,Released,"Comedy, Horror",10,2017,23333932
89,570324,Sara is Missing,en,A calm safe neighborhood... One day she went missing.. two kids were in the forest.. they found her phone... they saw the secrets... the secrets were deadly...,2017-10-13,0.6,0,0.0,5000,10000,60,Released,"Crime, Horror, Thriller",10,2017,5000
90,440021,Happy Death Day,en,"Caught in a bizarre and terrifying time warp, college student Tree finds herself repeatedly reliving the day of her murder, ultimately realizing that she must identify the killer and the reason for her death before her chances of survival run out.",2017-10-12,35.43,5369,6.6,4800000,125479266,97,Released,"Comedy, Horror, Mystery",10,2017,120679266
91,372343,The Snowman,en,Detective Harry Hole investigates the disappearance of a woman whose pink scarf is found wrapped around an ominous looking snowman.,2017-10-12,16.053,1948,5.2,35000000,43203413,119,Released,"Crime, Horror, Thriller",10,2017,8203413
92,433808,The Ritual,en,"A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",2017-10-11,46.777,2397,6.2,1000000,1786396,94,Released,"Horror, Mystery, Thriller",10,2017,786396
93,400710,Flatliners,en,"Five medical students, hoping to understand the mystery of what lies beyond life, embark on a dangerous experiment. When their hearts are stopped for a short period of time, they have a near-death experience…",2017-09-28,18.442,2035,5.7,19000000,45158254,111,Released,"Drama, Horror, Thriller",9,2017,26158254
94,381283,mother!,en,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",2017-09-13,22.57,5863,7.0,30000000,44516999,121,Released,"Drama, Horror, Mystery",9,2017,14516999
95,346364,It,en,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",2017-09-06,106.786,16900,7.2,35000000,701842551,135,Released,"Fantasy, Horror",9,2017,666842551
96,396422,Annabelle: Creation,en,"Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle.",2017-08-03,81.021,4859,6.6,15000000,306515884,110,Released,"Horror, Mystery, Thriller",8,2017,291515884
97,440597,Wish Upon,en,"A teenage girl discovers a box with magical powers, but those powers comes with a deadly price.",2017-07-07,39.467,1144,5.6,12000000,14301505,90,Released,"Fantasy, Horror, Thriller",7,2017,2301505
98,418078,It Comes at Night,en,"Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son, but this will soon be put to test when a desperate young family arrives seeking refuge.",2017-06-09,16.124,2003,5.8,5000000,19280931,91,Released,"Drama, Horror, Mystery",6,2017,14280931
99,282035,The Mummy,en,"Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient queen whose destiny was unjustly taken from her is awakened in our current day, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",2017-06-06,37.742,6346,5.5,125000000,409231607,110,Released,"Action, Adventure, Fantasy, Horror, Thriller",6,2017,284231607
100,403119,47 Meters Down,en,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.",2017-05-25,27.688,2406,5.8,5500000,44235023,89,Released,"Adventure, Drama, Horror, Thriller",5,2017,38735023
101,126889,Alien: Covenant,en,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition.",2017-05-09,73.672,7298,6.1,97000000,240891763,122,Released,"Horror, Mystery, Science Fiction",5,2017,143891763
102,443319,Phoenix Forgotten,en,"20 years after three teenagers disappeared in the wake of mysterious lights appearing above Phoenix, Arizona, unseen footage from that night has been discovered, chronicling the final hours of their fateful expedition.",2017-04-21,12.029,227,6.0,2800000,3600000,80,Released,"Horror, Mystery, Science Fiction",4,2017,800000
103,395992,Life,en,"The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected.",2017-03-22,32.282,6326,6.4,58000000,100541806,104,Released,"Horror, Mystery, Science Fiction, Thriller",3,2017,42541806
104,419430,Get Out,en,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",2017-02-24,68.431,14721,7.6,4500000,255407969,104,Released,"Horror, Mystery, Thriller",2,2017,250907969
105,428642,Ezra,ml,An urban couple Ranjan Mathew and Priya have just moved to Kochi when powers of the supernatural start to take over their lives. How they tide over the forces forms the story.​,2017-02-10,3.586,29,5.9,1500000,7800000,147,Released,"Horror, Thriller",2,2017,6300000
106,14564,Rings,en,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",2017-02-01,38.303,2270,5.0,25000000,83080890,102,Released,Horror,2,2017,58080890
107,422715,The Bride,ru,This is a story of a small town girl named Nastya. Her newly married husband Ivan drives her to his hometown to meet his family. Upon their arrival Nastya feels she made a wrong decision: she is surrounded by weird people and she sees creepy photos all around the house. Ivan disappears while his family prepares Nastya for a mysterious traditional Russian wedding ceremony. She struggles to calm herself down hoping all this will end and they will live happily ever after. Only if she stays alive...,2017-01-19,10.314,311,5.9,1500000,6945256,90,Released,"Horror, Mystery, Thriller",1,2017,5445256
